"timestamp","host_id","property_name","new_value"
46800,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:3.98;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.18;Hydro Run-of-river and pondage:5.21;Hydro Water Reservoir:2.68;Nuclear:65.74;Solar:10.16;Waste:0.45;Wind Offshore:2.26;Wind Onshore:8.91;Energy storage:0.00"
47700,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:3.90;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.18;Hydro Run-of-river and pondage:5.17;Hydro Water Reservoir:2.63;Nuclear:66.05;Solar:9.70;Waste:0.45;Wind Offshore:2.27;Wind Onshore:9.21;Energy storage:0.00"
48600,"renewable_heavy_host","energy_mix","Biomass:0.35;Fossil Gas:3.83;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.17;Hydro Run-of-river and pondage:5.21;Hydro Water Reservoir:2.51;Nuclear:66.48;Solar:9.13;Waste:0.45;Wind Offshore:2.29;Wind Onshore:9.50;Energy storage:0.00"
49500,"renewable_heavy_host","energy_mix","Biomass:0.35;Fossil Gas:3.85;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.17;Hydro Run-of-river and pondage:5.24;Hydro Water Reservoir:2.52;Nuclear:66.90;Solar:8.40;Waste:0.46;Wind Offshore:2.30;Wind Onshore:9.73;Energy storage:0.00"
50400,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:4.10;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.19;Hydro Run-of-river and pondage:5.26;Hydro Water Reservoir:2.61;Nuclear:67.12;Solar:7.60;Waste:0.46;Wind Offshore:2.31;Wind Onshore:9.92;Energy storage:0.01"
51300,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:4.34;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.23;Hydro Run-of-river and pondage:5.30;Hydro Water Reservoir:2.70;Nuclear:67.22;Solar:6.69;Waste:0.46;Wind Offshore:2.32;Wind Onshore:10.30;Energy storage:0.02"
52200,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:4.34;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.35;Hydro Run-of-river and pondage:5.36;Hydro Water Reservoir:2.87;Nuclear:67.40;Solar:5.84;Waste:0.46;Wind Offshore:2.32;Wind Onshore:10.59;Energy storage:0.03"
53100,"renewable_heavy_host","energy_mix","Biomass:0.34;Fossil Gas:4.45;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.41;Hydro Run-of-river and pondage:5.43;Hydro Water Reservoir:2.95;Nuclear:67.83;Solar:4.75;Waste:0.47;Wind Offshore:2.35;Wind Onshore:10.90;Energy storage:0.03"
54000,"renewable_heavy_host","energy_mix","Biomass:0.35;Fossil Gas:4.41;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.36;Hydro Run-of-river and pondage:5.69;Hydro Water Reservoir:3.15;Nuclear:68.05;Solar:3.81;Waste:0.47;Wind Offshore:2.35;Wind Onshore:11.27;Energy storage:0.01"
54900,"renewable_heavy_host","energy_mix","Biomass:0.35;Fossil Gas:4.39;Fossil Hard coal:0.00;Fossil Oil:0.09;Hydro Pumped Storage:0.45;Hydro Run-of-river and pondage:5.85;Hydro Water Reservoir:3.14;Nuclear:68.28;Solar:2.98;Waste:0.47;Wind Offshore:2.36;Wind Onshore:11.62;Energy storage:0.01"
