user_ID,group_ID,submit_time,start_time,end_time,wallclock_limit,job_status,node_count,tasks_requested
43,43,2012-02-07 16:31:55+00:00,2012-02-07 16:32:08+00:00,2012-02-07 16:32:17+00:00,0 days 00:10:00.000000000,COMPLETED,3,72
89,90,2012-02-07 16:38:48+00:00,2012-02-07 16:38:54+00:00,2012-02-07 16:40:13+00:00,0 days 16:00:00.000000000,COMPLETED,200,4800
89,90,2012-02-07 16:51:32+00:00,2012-02-07 16:51:51+00:00,2012-02-07 16:53:11+00:00,0 days 16:00:00.000000000,COMPLETED,200,4800
100,101,2012-02-07 16:54:33+00:00,2012-02-07 16:54:58+00:00,2012-02-08 08:54:59+00:00,0 days 16:00:00.000000000,TIMEOUT,25,600
89,90,2012-02-07 17:01:46+00:00,2012-02-07 17:02:12+00:00,2012-02-07 17:02:42+00:00,0 days 16:00:00.000000000,COMPLETED,200,4800
89,90,2012-02-07 17:06:12+00:00,2012-02-07 17:06:20+00:00,2012-02-08 08:32:43+00:00,0 days 16:00:00.000000000,COMPLETED,200,4800
93,94,2012-02-07 17:14:44+00:00,2012-02-07 17:15:07+00:00,2012-02-08 06:34:00+00:00,0 days 16:00:00.000000000,COMPLETED,22,528
89,90,2012-02-07 17:24:21+00:00,2012-02-07 17:24:25+00:00,2012-02-07 17:26:28+00:00,0 days 01:00:00.000000000,CANCELLED,6,144
86,87,2012-02-07 17:42:55+00:00,2012-02-07 17:43:03+00:00,2012-02-07 17:43:13+00:00,0 days 00:10:00.000000000,COMPLETED,40,960
86,87,2012-02-07 17:44:03+00:00,2012-02-07 17:44:05+00:00,2012-02-07 17:45:51+00:00,0 days 00:10:00.000000000,COMPLETED,40,960
102,103,2012-02-07 17:54:40+00:00,2012-02-07 17:54:56+00:00,2012-02-07 17:55:10+00:00,0 days 16:00:00.000000000,COMPLETED,300,7200
102,103,2012-02-07 17:57:36+00:00,2012-02-07 17:58:03+00:00,2012-02-07 20:45:18+00:00,0 days 16:00:00.000000000,CANCELLED,150,3600
408,415,2012-02-07 18:04:10+00:00,2012-02-07 18:04:16+00:00,2012-02-07 18:51:32+00:00,0 days 01:30:00.000000000,COMPLETED,25,600
143,144,2012-02-07 18:08:23+00:00,2012-02-07 18:08:24+00:00,2012-02-07 18:09:27+00:00,0 days 01:00:00.000000000,COMPLETED,150,3600
23,23,2012-02-07 18:09:34+00:00,,2012-02-07 18:09:49+00:00,0 days 01:00:00.000000000,CANCELLED,3,24
23,23,2012-02-07 18:10:40+00:00,2012-02-07 18:11:01+00:00,2012-02-07 18:11:02+00:00,0 days 01:00:00.000000000,COMPLETED,6,144
23,23,2012-02-07 18:13:21+00:00,2012-02-07 18:13:37+00:00,2012-02-07 18:14:08+00:00,0 days 01:00:00.000000000,COMPLETED,6,144
23,23,2012-02-07 18:16:35+00:00,2012-02-07 18:16:43+00:00,2012-02-07 18:16:44+00:00,0 days 01:00:00.000000000,COMPLETED,6,144
23,23,2012-02-07 18:17:43+00:00,2012-02-07 18:17:46+00:00,2012-02-07 18:17:47+00:00,0 days 01:00:00.000000000,COMPLETED,6,144
23,23,2012-02-07 18:19:48+00:00,2012-02-07 18:19:50+00:00,2012-02-07 18:19:51+00:00,0 days 01:00:00.000000000,COMPLETED,6,144
143,144,2012-02-07 18:39:07+00:00,2012-02-07 18:39:30+00:00,2012-02-07 18:40:33+00:00,0 days 01:00:00.000000000,COMPLETED,150,3600
45,45,2012-02-07 18:44:28+00:00,2012-02-07 18:44:41+00:00,2012-02-07 18:44:49+00:00,0 days 06:00:00.000000000,COMPLETED,43,1032
45,45,2012-02-07 18:46:00+00:00,2012-02-07 18:46:15+00:00,2012-02-08 00:46:16+00:00,0 days 06:00:00.000000000,TIMEOUT,43,1032
408,415,2012-02-07 18:51:43+00:00,2012-02-07 18:51:56+00:00,2012-02-07 19:05:44+00:00,0 days 01:00:00.000000000,COMPLETED,25,600
45,45,2012-02-07 18:58:42+00:00,2012-02-07 18:59:11+00:00,2012-02-08 10:59:12+00:00,0 days 16:00:00.000000000,TIMEOUT,43,1032
182,346,2012-02-07 19:34:36+00:00,2012-02-07 19:34:52+00:00,2012-02-07 19:36:25+00:00,0 days 01:00:00.000000000,COMPLETED,25,600
182,346,2012-02-07 19:36:28+00:00,2012-02-07 19:36:57+00:00,2012-02-07 20:36:58+00:00,0 days 01:00:00.000000000,TIMEOUT,25,600
102,103,2012-02-07 20:45:39+00:00,2012-02-07 20:45:47+00:00,2012-02-07 20:46:49+00:00,0 days 16:00:00.000000000,COMPLETED,150,3600
102,103,2012-02-07 20:47:08+00:00,2012-02-07 20:47:20+00:00,2012-02-07 20:47:24+00:00,0 days 16:00:00.000000000,COMPLETED,150,3600
102,103,2012-02-07 20:47:34+00:00,2012-02-07 20:47:51+00:00,2012-02-08 12:47:52+00:00,0 days 16:00:00.000000000,TIMEOUT,150,3600
102,103,2012-02-07 20:48:01+00:00,2012-02-07 20:48:23+00:00,2012-02-07 20:50:29+00:00,0 days 16:00:00.000000000,CANCELLED,150,3600
102,103,2012-02-07 20:48:03+00:00,2012-02-07 20:48:23+00:00,2012-02-07 20:50:24+00:00,0 days 16:00:00.000000000,CANCELLED,150,3600
143,144,2012-02-07 21:05:30+00:00,2012-02-07 21:05:58+00:00,2012-02-07 21:07:01+00:00,0 days 01:00:00.000000000,COMPLETED,150,3600
46,46,2012-02-07 21:05:57+00:00,2012-02-07 21:05:58+00:00,2012-02-07 21:07:31+00:00,0 days 11:59:00.000000000,COMPLETED,188,4512
143,144,2012-02-07 21:09:59+00:00,2012-02-07 21:10:07+00:00,2012-02-07 22:10:09+00:00,0 days 01:00:00.000000000,TIMEOUT,150,3600
45,45,2012-02-07 21:27:20+00:00,2012-02-07 21:27:42+00:00,2012-02-08 03:27:43+00:00,0 days 06:00:00.000000000,TIMEOUT,43,1032
46,46,2012-02-07 22:06:09+00:00,2012-02-07 22:06:29+00:00,2012-02-07 22:08:00+00:00,0 days 11:59:00.000000000,COMPLETED,188,4512
86,87,2012-02-07 22:06:50+00:00,2012-02-07 22:08:03+00:00,2012-02-07 22:48:04+00:00,0 days 00:40:00.000000000,TIMEOUT,128,3072
46,46,2012-02-07 22:09:43+00:00,2012-02-07 22:10:37+00:00,2012-02-08 06:27:27+00:00,0 days 11:59:00.000000000,COMPLETED,188,4512
86,87,2012-02-07 22:20:38+00:00,2012-02-07 22:20:59+00:00,2012-02-07 22:21:29+00:00,0 days 01:00:00.000000000,COMPLETED,64,1536
86,87,2012-02-07 22:24:07+00:00,2012-02-07 22:24:39+00:00,2012-02-07 23:02:30+00:00,0 days 01:00:00.000000000,COMPLETED,64,1536
143,144,2012-02-07 22:44:07+00:00,2012-02-07 22:48:32+00:00,2012-02-07 22:49:35+00:00,0 days 01:00:00.000000000,COMPLETED,150,3600
408,415,2012-02-07 23:06:23+00:00,2012-02-07 23:06:38+00:00,2012-02-07 23:19:57+00:00,0 days 01:00:00.000000000,COMPLETED,25,600
86,87,2012-02-08 00:04:08+00:00,2012-02-08 00:04:33+00:00,2012-02-08 00:08:46+00:00,0 days 00:30:00.000000000,COMPLETED,43,1032
86,87,2012-02-08 00:06:54+00:00,2012-02-08 00:07:09+00:00,2012-02-08 00:08:13+00:00,0 days 01:00:00.000000000,COMPLETED,64,1536
86,87,2012-02-08 00:10:40+00:00,2012-02-08 00:10:47+00:00,2012-02-08 00:19:40+00:00,0 days 01:00:00.000000000,CANCELLED,64,1536
86,87,2012-02-08 00:20:11+00:00,2012-02-08 00:20:37+00:00,2012-02-08 01:20:38+00:00,0 days 01:00:00.000000000,TIMEOUT,128,3072
