"timestamp","host_id","property_name","new_value"
18900,"AS0","energy_mix","Biomass:9.70;Fossil Brown coal/Lignite:17.21;Fossil Coal-derived gas:1.31;Fossil Gas:29.89;Fossil Hard coal:7.36;Fossil Oil:0.26;Geothermal:0.05;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:2.11;Hydro Water Reservoir:0.06;Other renewable:0.17;Solar:0.00;Waste:1.54;Wind Offshore:4.50;Wind Onshore:25.11;Other:0.73"
19800,"AS0","energy_mix","Biomass:9.70;Fossil Brown coal/Lignite:17.32;Fossil Coal-derived gas:1.31;Fossil Gas:29.78;Fossil Hard coal:7.45;Fossil Oil:0.26;Geothermal:0.05;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:2.09;Hydro Water Reservoir:0.06;Other renewable:0.17;Solar:0.00;Waste:1.51;Wind Offshore:4.62;Wind Onshore:24.96;Other:0.72"
20700,"AS0","energy_mix","Biomass:9.72;Fossil Brown coal/Lignite:17.26;Fossil Coal-derived gas:1.34;Fossil Gas:29.64;Fossil Hard coal:7.54;Fossil Oil:0.26;Geothermal:0.05;Hydro Pumped Storage:0.03;Hydro Run-of-river and pondage:2.07;Hydro Water Reservoir:0.23;Other renewable:0.17;Solar:0.00;Waste:1.50;Wind Offshore:4.72;Wind Onshore:24.74;Other:0.73"
21600,"AS0","energy_mix","Biomass:9.79;Fossil Brown coal/Lignite:17.19;Fossil Coal-derived gas:1.37;Fossil Gas:29.32;Fossil Hard coal:7.55;Fossil Oil:0.25;Geothermal:0.05;Hydro Pumped Storage:0.36;Hydro Run-of-river and pondage:2.05;Hydro Water Reservoir:0.22;Other renewable:0.17;Solar:0.00;Waste:1.45;Wind Offshore:4.75;Wind Onshore:24.77;Other:0.71"
22500,"AS0","energy_mix","Biomass:9.84;Fossil Brown coal/Lignite:17.11;Fossil Coal-derived gas:1.35;Fossil Gas:29.39;Fossil Hard coal:7.59;Fossil Oil:0.25;Geothermal:0.05;Hydro Pumped Storage:0.27;Hydro Run-of-river and pondage:2.03;Hydro Water Reservoir:0.05;Other renewable:0.17;Solar:0.00;Waste:1.44;Wind Offshore:4.82;Wind Onshore:24.95;Other:0.69"
23400,"AS0","energy_mix","Biomass:9.83;Fossil Brown coal/Lignite:16.96;Fossil Coal-derived gas:1.36;Fossil Gas:29.09;Fossil Hard coal:7.77;Fossil Oil:0.25;Geothermal:0.05;Hydro Pumped Storage:0.38;Hydro Run-of-river and pondage:2.00;Hydro Water Reservoir:0.07;Other renewable:0.17;Solar:0.00;Waste:1.43;Wind Offshore:4.85;Wind Onshore:25.07;Other:0.72"
24300,"AS0","energy_mix","Biomass:9.81;Fossil Brown coal/Lignite:16.84;Fossil Coal-derived gas:1.35;Fossil Gas:29.08;Fossil Hard coal:7.76;Fossil Oil:0.25;Geothermal:0.05;Hydro Pumped Storage:0.23;Hydro Run-of-river and pondage:2.00;Hydro Water Reservoir:0.15;Other renewable:0.17;Solar:0.01;Waste:1.44;Wind Offshore:4.90;Wind Onshore:25.28;Other:0.68"
25200,"AS0","energy_mix","Biomass:9.84;Fossil Brown coal/Lignite:16.92;Fossil Coal-derived gas:1.37;Fossil Gas:28.65;Fossil Hard coal:7.86;Fossil Oil:0.25;Geothermal:0.05;Hydro Pumped Storage:0.12;Hydro Run-of-river and pondage:1.98;Hydro Water Reservoir:0.08;Other renewable:0.17;Solar:0.01;Waste:1.43;Wind Offshore:5.15;Wind Onshore:25.46;Other:0.66"
26100,"AS0","energy_mix","Biomass:9.76;Fossil Brown coal/Lignite:16.98;Fossil Coal-derived gas:1.37;Fossil Gas:28.42;Fossil Hard coal:7.73;Fossil Oil:0.24;Geothermal:0.05;Hydro Pumped Storage:0.22;Hydro Run-of-river and pondage:1.95;Hydro Water Reservoir:0.20;Other renewable:0.16;Solar:0.06;Waste:1.41;Wind Offshore:5.17;Wind Onshore:25.58;Other:0.70"
27000,"AS0","energy_mix","Biomass:9.62;Fossil Brown coal/Lignite:16.92;Fossil Coal-derived gas:1.30;Fossil Gas:28.30;Fossil Hard coal:7.61;Fossil Oil:0.24;Geothermal:0.05;Hydro Pumped Storage:0.36;Hydro Run-of-river and pondage:1.92;Hydro Water Reservoir:0.28;Other renewable:0.16;Solar:0.38;Waste:1.40;Wind Offshore:5.25;Wind Onshore:25.54;Other:0.67"
