"timestamp","host_id","property_name","new_value"
29700,"AS0","energy_mix","Biomass:1.91;Fossil Brown coal/Lignite:10.18;Fossil Coal-derived gas:0.68;Fossil Gas:16.27;Fossil Hard coal:33.78;Fossil Oil:1.08;Hydro Pumped Storage:0.60;Hydro Run-of-river and pondage:0.27;Hydro Water Reservoir:0.18;Other renewable:0.31;Solar:4.45;Wind Onshore:27.20;Other:3.09"
30600,"AS0","energy_mix","Biomass:1.89;Fossil Brown coal/Lignite:10.03;Fossil Coal-derived gas:0.67;Fossil Gas:16.05;Fossil Hard coal:33.82;Fossil Oil:1.08;Hydro Pumped Storage:0.60;Hydro Run-of-river and pondage:0.27;Hydro Water Reservoir:0.18;Other renewable:0.31;Solar:5.24;Wind Onshore:26.79;Other:3.07"
31500,"AS0","energy_mix","Biomass:1.86;Fossil Brown coal/Lignite:9.80;Fossil Coal-derived gas:0.66;Fossil Gas:15.79;Fossil Hard coal:34.29;Fossil Oil:1.06;Hydro Pumped Storage:0.72;Hydro Run-of-river and pondage:0.27;Hydro Water Reservoir:0.23;Other renewable:0.30;Solar:5.66;Wind Onshore:26.34;Other:3.02"
32400,"AS0","energy_mix","Biomass:1.80;Fossil Brown coal/Lignite:10.29;Fossil Coal-derived gas:0.67;Fossil Gas:15.75;Fossil Hard coal:34.36;Fossil Oil:1.02;Hydro Pumped Storage:0.76;Hydro Run-of-river and pondage:0.24;Hydro Water Reservoir:0.09;Other renewable:0.29;Solar:5.98;Wind Onshore:25.80;Other:2.95"
33300,"AS0","energy_mix","Biomass:1.79;Fossil Brown coal/Lignite:10.01;Fossil Coal-derived gas:0.67;Fossil Gas:15.48;Fossil Hard coal:34.40;Fossil Oil:1.02;Hydro Pumped Storage:0.75;Hydro Run-of-river and pondage:0.23;Hydro Water Reservoir:0.09;Other renewable:0.29;Solar:6.96;Wind Onshore:25.38;Other:2.93"
34200,"AS0","energy_mix","Biomass:1.81;Fossil Brown coal/Lignite:9.70;Fossil Coal-derived gas:0.68;Fossil Gas:15.56;Fossil Hard coal:34.21;Fossil Oil:1.03;Hydro Pumped Storage:0.76;Hydro Run-of-river and pondage:0.24;Hydro Water Reservoir:0.38;Other renewable:0.29;Solar:6.81;Wind Onshore:25.59;Other:2.94"
35100,"AS0","energy_mix","Biomass:1.81;Fossil Brown coal/Lignite:9.61;Fossil Coal-derived gas:0.68;Fossil Gas:15.66;Fossil Hard coal:34.16;Fossil Oil:1.02;Hydro Pumped Storage:0.76;Hydro Run-of-river and pondage:0.23;Hydro Water Reservoir:0.19;Other renewable:0.29;Solar:7.14;Wind Onshore:25.52;Other:2.93"
36000,"AS0","energy_mix","Biomass:1.78;Fossil Brown coal/Lignite:9.83;Fossil Coal-derived gas:0.66;Fossil Gas:15.52;Fossil Hard coal:34.09;Fossil Oil:1.01;Hydro Pumped Storage:0.75;Hydro Run-of-river and pondage:0.23;Hydro Water Reservoir:0.23;Other renewable:0.29;Solar:7.26;Wind Onshore:25.45;Other:2.90"
36900,"AS0","energy_mix","Biomass:1.80;Fossil Brown coal/Lignite:9.69;Fossil Coal-derived gas:0.65;Fossil Gas:15.48;Fossil Hard coal:33.47;Fossil Oil:1.02;Hydro Pumped Storage:0.75;Hydro Run-of-river and pondage:0.23;Hydro Water Reservoir:0.18;Other renewable:0.29;Solar:7.94;Wind Onshore:25.56;Other:2.94"
37800,"AS0","energy_mix","Biomass:1.79;Fossil Brown coal/Lignite:10.19;Fossil Coal-derived gas:0.65;Fossil Gas:15.42;Fossil Hard coal:33.34;Fossil Oil:1.02;Hydro Pumped Storage:0.00;Hydro Run-of-river and pondage:0.23;Hydro Water Reservoir:0.37;Other renewable:0.29;Solar:8.65;Wind Onshore:25.14;Other:2.91"
